serie;funcion;tiempo;serie;;;;serie;funcion;tiempo O;tiempoOpt;;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:02,3;T386_20150207_2302_2341 mapMatch;10;T386_20150207_2302_2341 mapMatch10;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,6;328%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:22,2;T386_20150207_2793_2819 mapMatch;10;T386_20150207_2793_2819 mapMatch10;;T386_20150212_1389_1466;mapMatch;00:01,4;00:05,0;354%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,7;T386_20150212_1389_1466 mapMatch;10;T386_20150212_1389_1466 mapMatch10;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,7;336%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:20,1;T386_20150212_1712_1767 mapMatch;10;T386_20150212_1712_1767 mapMatch10;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,7;333%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:04,7;T386_20150212_2640_2693 mapMatch;10;T386_20150212_2640_2693 mapMatch10;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,9;348%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:04,1;T916_20150207_2161_2181 mapMatch;10;T916_20150207_2161_2181 mapMatch10;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,8;343%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:05,3;T916_20150208_2161_2196 mapMatch;10;T916_20150208_2161_2196 mapMatch10;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,6;324%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:02,5;T916_20150208_2241_2271 mapMatch;10;T916_20150208_2241_2271 mapMatch10;;T386_20150212_1389_1466;mapMatch;00:01,5;00:04,8;315%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,5;T386_20150207_2302_2341 mapMatch;11;T386_20150207_2302_2341 mapMatch11;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,7;339%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:04,4;T386_20150207_2793_2819 mapMatch;11;T386_20150207_2793_2819 mapMatch11;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,9;353%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,7;T386_20150212_1389_1466 mapMatch;11;T386_20150212_1389_1466 mapMatch11;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,9;355%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:04,0;T386_20150212_1712_1767 mapMatch;11;T386_20150212_1712_1767 mapMatch11;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,7;331%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:13,5;T386_20150212_2640_2693 mapMatch;11;T386_20150212_2640_2693 mapMatch11;;T386_20150212_1389_1466;mapMatch;00:03,2;00:08,2;258%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:25,7;T916_20150207_2161_2181 mapMatch;11;T916_20150207_2161_2181 mapMatch11;;T386_20150212_1389_1466;mapMatch;00:03,2;00:06,6;204%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:06,0;T916_20150208_2161_2196 mapMatch;11;T916_20150208_2161_2196 mapMatch11;;T386_20150212_1389_1466;mapMatch;00:04,9;00:07,9;162%;;;;;;;;;;;;;
T916_20150208_2241_2271;mapMatch;00:05,0;T916_20150208_2241_2271 mapMatch;11;T916_20150208_2241_2271 mapMatch11;;T386_20150212_1389_1466;mapMatch;00:06,9;00:08,1;117%;;;;;;;;;;;;;
T386_20150207_2302_2341;mapMatch;00:05,1;T386_20150207_2302_2341 mapMatch;12;T386_20150207_2302_2341 mapMatch12;;T386_20150212_1389_1466;mapMatch;00:01,5;00:05,1;350%;;;;;;;;;;;;;
T386_20150207_2793_2819;mapMatch;00:09,4;T386_20150207_2793_2819 mapMatch;12;T386_20150207_2793_2819 mapMatch12;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,7;334%;;;;;;;;;;;;;
T386_20150212_1389_1466;mapMatch;00:04,9;T386_20150212_1389_1466 mapMatch;12;T386_20150212_1389_1466 mapMatch12;;T386_20150212_1389_1466;mapMatch;00:01,4;00:05,3;365%;;;;;;;;;;;;;
T386_20150212_1712_1767;mapMatch;00:04,0;T386_20150212_1712_1767 mapMatch;12;T386_20150212_1712_1767 mapMatch12;;T386_20150212_1389_1466;mapMatch;00:01,4;00:04,6;321%;;;;;;;;;;;;;
T386_20150212_2640_2693;mapMatch;00:02,4;T386_20150212_2640_2693 mapMatch;12;T386_20150212_2640_2693 mapMatch12;;T386_20150212_1389_1466;mapMatch;00:01,5;00:04,8;311%;;;;;;;;;;;;;
T916_20150207_2161_2181;mapMatch;00:20,3;T916_20150207_2161_2181 mapMatch;12;T916_20150207_2161_2181 mapMatch12;;T386_20150212_1389_1466;mapMatch;00:01,5;00:05,2;354%;;;;;;;;;;;;;
T916_20150208_2161_2196;mapMatch;00:08,2;T916_20150208_2161_2196 mapMatch;12;T916_20150208_2161_2196 mapMatch12;;T386_20150212_1389_1466;mapMatch;00:07,0;00:15,4;221%;;;;;;;;;;;;;
